time,speed,throttle,brake,gear
1774799604.7561295,124,117,79,131
1774799604.7561338,124,117,79,131
1774799604.7561371,124,117,79,131
1774799604.75614,124,117,79,131
1774799604.7561429,124,117,79,131
1774799604.7561457,124,117,79,131
1774799604.810229,124,117,79,131
1774799604.8102496,124,117,79,131
1774799604.8102536,124,117,79,131
1774799604.810257,124,117,79,131
1774799604.8102605,124,117,79,131
1774799604.8102632,124,117,79,131
1774799604.8102658,124,117,79,131
1774799604.8102686,124,117,79,131
1774799604.8591814,124,117,79,131
1774799604.8591988,124,117,79,131
1774799604.8592029,124,117,79,131
1774799604.8592064,124,117,79,131
1774799604.8592155,124,117,79,131
1774799604.8592186,124,117,79,131
1774799604.8592215,124,117,79,131
1774799604.9070966,124,117,79,131
1774799604.9071155,124,117,79,131
1774799604.907119,124,117,79,131
1774799604.9071221,124,117,79,131
1774799604.9071248,124,117,79,131
1774799604.9071267,124,117,79,131
1774799604.9071355,124,117,79,131
1774799604.90714,124,117,79,131
1774799604.9560845,124,117,79,131
1774799604.956106,124,117,79,131
1774799604.9561098,124,117,79,131
1774799604.9561124,124,117,79,131
1774799604.9561152,124,117,79,131
1774799604.9561174,124,117,79,131
1774799604.9561198,124,117,79,131
1774799605.0094147,124,117,79,131
1774799605.0094366,124,117,79,131
1774799605.0094428,124,117,79,131
1774799605.0094476,124,117,79,131
1774799605.009452,124,117,79,131
1774799605.0094562,124,117,79,131
1774799605.0094602,124,117,79,131
1774799605.0094645,124,117,79,131
1774799605.0094683,124,117,79,131
1774799605.0094728,124,117,79,131
1774799605.009477,124,117,79,131
1774799605.0094817,124,117,79,131
1774799605.0094852,124,117,79,131
1774799605.019552,124,117,79,131
1774799605.0598743,124,117,79,131
1774799605.0598965,124,117,79,131
1774799605.0599017,124,117,79,131
1774799605.0599058,124,117,79,131
1774799605.0599093,124,117,79,131
1774799605.0599134,124,117,79,131
1774799605.0599172,124,117,79,131
1774799605.1073298,124,117,79,131
1774799605.107348,124,117,79,131
1774799605.1073527,124,117,79,131
1774799605.1073558,124,117,79,131
1774799605.107359,124,117,79,131
1774799605.1073616,124,117,79,131
1774799605.1073644,124,117,79,131
1774799605.1073666,124,117,79,131
1774799605.1607792,124,117,79,131
1774799605.1607995,124,117,79,131
1774799605.1608045,124,117,79,131
1774799605.160808,124,117,79,131
1774799605.160811,124,117,79,131
1774799605.1608138,124,117,79,131
1774799605.1608334,124,117,79,131
1774799605.2087338,124,117,79,131
1774799605.2087548,124,117,79,131
1774799605.2087603,124,117,79,131
1774799605.208765,124,117,79,131
1774799605.208769,124,117,79,131
1774799605.2087731,124,117,79,131
1774799605.208777,124,117,79,131
1774799605.2087805,124,117,79,131
1774799605.2576952,124,117,79,131
1774799605.257718,124,117,79,131
1774799605.2577226,124,117,79,131
1774799605.2577264,124,117,79,131
1774799605.2577293,124,117,79,131
1774799605.2577326,124,117,79,131
1774799605.257736,124,117,79,131
1774799605.3103235,124,117,79,131
1774799605.3103397,124,117,79,131
1774799605.3103437,124,117,79,131
1774799605.3103514,124,117,79,131
1774799605.3103542,124,117,79,131
1774799605.3103566,124,117,79,131
1774799605.3103595,124,117,79,131
1774799605.310363,124,117,79,131
1774799605.357806,124,117,79,131
1774799605.3578217,124,117,79,131
1774799605.3578258,124,117,79,131
1774799605.3578286,124,117,79,131
1774799605.3578315,124,117,79,131
1774799605.3578336,124,117,79,131
1774799605.357836,124,117,79,131
1774799605.3678215,124,117,79,131
1774799605.4108145,124,117,79,131
1774799605.4108663,124,117,79,131
1774799605.4108734,124,117,79,131
1774799605.410878,124,117,79,131
1774799605.4108818,124,117,79,131
1774799605.4108858,124,117,79,131
1774799605.41089,124,117,79,131
1774799605.4108942,124,117,79,131
1774799605.4586432,124,117,79,131
1774799605.4586642,124,117,79,131
1774799605.4586744,124,117,79,131
1774799605.4586782,124,117,79,131
1774799605.4586885,124,117,79,131
1774799605.4587092,124,117,79,131
1774799605.4587262,124,117,79,131
1774799605.5062075,124,117,79,131
1774799605.5062273,124,117,79,131
1774799605.5062335,124,117,79,131
1774799605.506238,124,117,79,131
1774799605.506242,124,117,79,131
1774799605.5062551,124,117,79,131
1774799605.5062594,124,117,79,131
1774799605.5062635,124,117,79,131
1774799605.5062711,124,117,79,131
1774799605.5063,124,117,79,131
1774799605.5596974,124,117,79,131
1774799605.559714,124,117,79,131
1774799605.5597181,124,117,79,131
1774799605.559721,124,117,79,131
1774799605.5597236,124,117,79,131
1774799605.559726,124,117,79,131
1774799605.5597284,124,117,79,131
1774799605.607388,124,117,79,131
